Model,accuracy,precision,recall,f1_score,specificity
logistic,0.98,0.9802194935377427,0.98,0.9800353381977952,0.995
svm,0.969,0.9699088521768052,0.969,0.969087145738592,0.99225
random_forest,0.962,0.9625837122647467,0.962,0.9620592946121946,0.9905
xgboost,0.969,0.969177322776302,0.969,0.9689772662413886,0.99225
kmeans,0.061,0.057949999999999995,0.058559999999999994,0.057949999999999995,0.057339999999999995
