,Mean,Mean,Mean,Mean,Std,Std,Std,Std
Metric,accuracy,f1,precision,recall,accuracy,f1,precision,recall
Model,,,,,,,,
logistic,0.9842000000000001,0.9842089463656307,0.9842677825516981,0.9842000000000001,0.0011661903789690613,0.0011550228437113863,0.0011632705039300282,0.0011661903789690613
random_forest,0.9630000000000001,0.9630044283735962,0.9633423298922021,0.9630000000000001,0.0037947331922020583,0.003770775080940609,0.0038148131688849215,0.0037947331922020583
svm,0.9742,0.9742072455345042,0.9746290416427217,0.9742,0.005455272678794347,0.005430585665217339,0.005187367695654627,0.005455272678794347
xgboost,0.9693999999999999,0.9693651895603592,0.9694883249446393,0.9693999999999999,0.0034409301068170535,0.0034562827844887454,0.003432593982866821,0.0034409301068170535
